Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Caproni Ca.73,fr.de,0.29411764705882354,5,16,100.0,31.25,yes,yes,no,no
Caproni Ca.73,fr.it,0.5,5,3,60.0,100.0,yes,yes,no,no
Caproni Ca.73,fr.en,0.11538461538461539,5,6,80.0,33.33333333333333,yes,no,no,no
Fiat G.12,fr.de,0.0,71,54,0.0,0.0,no,no,no,no
Fiat G.12,fr.it,0.1,71,14,2.8169014084507045,14.285714285714285,yes,no,no,no
Fiat G.12,fr.en,0.0,71,8,0.0,0.0,no,no,no,no
Fiat A.80,fr.de,0.0,14,9,0.0,0.0,no,no,no,no
Fiat A.80,fr.it,0.3333333333333333,14,9,14.285714285714285,22.22222222222222,yes,no,no,no
Fiat A.80,fr.en,0.0,14,2,0.0,0.0,no,no,no,no
Ala Littoria,fr.de,0.14814814814814814,8,16,25.0,12.5,yes,no,no,no
Ala Littoria,fr.it,0.5454545454545454,8,9,75.0,66.66666666666666,yes,yes,no,no
Ala Littoria,fr.en,0.0,8,9,0.0,0.0,no,no,no,no
Giuseppe Merosi,fr.de,0.375,23,20,39.130434782608695,40.0,yes,yes,no,no
Giuseppe Merosi,fr.it,0.75,23,16,65.21739130434783,93.75,yes,yes,yes,yes
Giuseppe Merosi,fr.en,0.375,23,16,30.434782608695656,43.75,yes,yes,yes,no
King Long,fr.de,0.11538461538461539,12,63,16.666666666666664,3.1746031746031744,yes,no,no,no
King Long,fr.it,0.25806451612903225,12,12,33.33333333333333,33.33333333333333,yes,no,no,no
King Long,fr.en,0.5641025641025641,12,19,33.33333333333333,21.052631578947366,yes,yes,yes,no
CANT Z.1007,fr.de,0.14893617021276595,58,19,3.4482758620689653,10.526315789473683,yes,no,no,no
CANT Z.1007,fr.it,0.76,58,69,70.6896551724138,59.42028985507246,yes,yes,yes,yes
CANT Z.1007,fr.en,0.5714285714285714,58,138,29.310344827586203,12.318840579710146,yes,yes,yes,yes
Avio Linee Italiane,fr.de,0.29411764705882354,14,14,28.57142857142857,28.57142857142857,yes,no,no,no
Avio Linee Italiane,fr.it,0.22727272727272727,14,7,21.428571428571427,42.857142857142854,yes,yes,no,no
Avio Linee Italiane,fr.en,1.0,14,19,28.57142857142857,21.052631578947366,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,fr.de,0.6666666666666666,34,52,61.76470588235294,38.46153846153847,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,fr.it,0.6363636363636364,34,36,73.52941176470588,69.44444444444444,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,fr.en,0.3684210526315789,34,11,17.647058823529413,54.54545454545454,yes,yes,no,no
Salini Impregilo,fr.de,0.23529411764705882,64,2,3.125,100.0,yes,no,no,no
Salini Impregilo,fr.it,0.6666666666666666,64,84,31.25,23.809523809523807,yes,yes,yes,yes
Salini Impregilo,fr.en,0.3181818181818182,64,12,6.25,33.33333333333333,yes,no,no,no
Nobile T.34 Roma,fr.de,0.5555555555555556,18,18,55.55555555555556,55.55555555555556,yes,yes,yes,yes
Nobile T.34 Roma,fr.it,0.6666666666666666,18,20,77.77777777777779,70.0,yes,yes,yes,yes
Nobile T.34 Roma,fr.en,0.21951219512195122,18,15,22.22222222222222,26.666666666666668,yes,no,no,no
