Topic, Languages, Max value, Length of L1, Length of L2, %L1, %L2, Diagonal>=2, Diagonal >=3, Diagonal>=4, Diagonal>=5
Caproni Ca.73,fr.de,0.48795003647426655,5,16,80.0,25.0,yes,no,no,no
Caproni Ca.73,fr.it,0.6666666666666666,5,3,60.0,100.0,yes,yes,no,no
Caproni Ca.73,fr.en,0.0,5,6,0.0,0.0,no,no,no,no
Fiat G.12,fr.de,0.47809144373375745,71,54,2.8169014084507045,3.7037037037037033,yes,no,no,no
Fiat G.12,fr.it,0.20100756305184242,71,14,2.8169014084507045,14.285714285714285,yes,no,no,no
Fiat G.12,fr.en,0.0,71,8,0.0,0.0,no,no,no,no
Fiat A.80,fr.de,0.0,14,9,0.0,0.0,no,no,no,no
Fiat A.80,fr.it,0.5070925528371099,14,9,14.285714285714285,22.22222222222222,yes,no,no,no
Fiat A.80,fr.en,0.0,14,2,0.0,0.0,no,no,no,no
Ala Littoria,fr.de,0.29411764705882354,8,16,25.0,12.5,yes,no,no,no
Ala Littoria,fr.it,0.7058823529411765,8,9,75.0,66.66666666666666,yes,yes,no,no
Ala Littoria,fr.en,0.0,8,9,0.0,0.0,no,no,no,no
Giuseppe Merosi,fr.de,0.6804138174397718,23,20,39.130434782608695,45.0,yes,yes,no,no
Giuseppe Merosi,fr.it,0.8660254037844387,23,16,65.21739130434783,93.75,yes,yes,yes,yes
Giuseppe Merosi,fr.en,0.6735753140545634,23,16,21.73913043478261,31.25,yes,yes,no,no
King Long,fr.de,0.0,12,63,0.0,0.0,no,no,no,no
King Long,fr.it,0.4661490107484189,12,12,41.66666666666667,41.66666666666667,yes,yes,no,no
King Long,fr.en,0.7214084193623483,12,19,16.666666666666664,10.526315789473683,yes,no,no,no
CANT Z.1007,fr.de,0.4803844614152615,58,19,3.4482758620689653,10.526315789473683,yes,no,no,no
CANT Z.1007,fr.it,0.8693182879212227,58,69,63.793103448275865,53.62318840579711,yes,yes,yes,yes
CANT Z.1007,fr.en,0.7302967433402214,58,138,29.310344827586203,12.318840579710146,yes,yes,yes,yes
Avio Linee Italiane,fr.de,0.4622501635210243,14,14,35.714285714285715,35.714285714285715,yes,yes,no,no
Avio Linee Italiane,fr.it,0.5800147905657416,14,7,21.428571428571427,42.857142857142854,yes,yes,no,no
Avio Linee Italiane,fr.en,1.0000000000000002,14,19,28.57142857142857,21.052631578947366,yes,yes,yes,no
URSS W6 OSOAVIAKHIM,fr.de,0.7999999999999998,34,52,52.94117647058824,32.69230769230769,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,fr.it,0.7627700713964739,34,36,58.82352941176471,55.55555555555556,yes,yes,yes,yes
URSS W6 OSOAVIAKHIM,fr.en,0.5698028822981898,34,11,14.705882352941178,45.45454545454545,yes,yes,no,no
Salini Impregilo,fr.de,0.0,64,2,0.0,0.0,no,no,no,no
Salini Impregilo,fr.it,0.8017837257372731,64,84,26.5625,20.238095238095237,yes,yes,no,no
Salini Impregilo,fr.en,0.35355339059327373,64,12,3.125,16.666666666666664,yes,no,no,no
Nobile T.34 Roma,fr.de,0.7216878364870323,18,18,50.0,50.0,yes,yes,yes,yes
Nobile T.34 Roma,fr.it,0.8017837257372732,18,20,66.66666666666666,60.0,yes,yes,yes,yes
Nobile T.34 Roma,fr.en,0.43041423101055837,18,15,22.22222222222222,26.666666666666668,yes,no,no,no
