it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.25925925925925924,0.1111111111111111,0.1875,0.03571428571428571,0.0,0.0,0.0,0.12,0.0,0.06060606060606061,0.029411764705882353,0.037037037037037035,0.07142857142857142,0.0,0.0625,0.08695652173913043,0.0,0.11627906976744186
2,0.056338028169014086,0.038461538461538464,0.039473684210526314,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.02702702702702703,0.0410958904109589,0.029850746268656716,0.028985507246376812,0.0,0.013513513513513514,0.04597701149425287,0.0,0.03488372093023256
3,0.0784313725490196,0.03389830508474576,0.05357142857142857,0.02040816326530612,0.041666666666666664,0.05555555555555555,0.0,0.0425531914893617,0.019230769230769232,0.01818181818181818,0.0,0.020833333333333332,0.02,0.0,0.0,0.014285714285714285,0.03333333333333333,0.045454545454545456
4,0.041666666666666664,0.05194805194805195,0.025974025974025976,0.06060606060606061,0.014492753623188406,0.02666666666666667,0.0,0.029850746268656716,0.0,0.0410958904109589,0.0410958904109589,0.0,0.028985507246376812,0.0,0.0273972602739726,0.02247191011235955,0.025,0.03488372093023256
5,0.0,0.0,0.0,0.0625,0.0,0.043478260869565216,0.0,0.0,0.1111111111111111,0.0,0.045454545454545456,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.047619047619047616,0.03571428571428571,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.05263157894736842,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04,0.0,0.0,0.0,0.10526315789473684,0.037037037037037035,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.15384615384615385,0.09090909090909091,0.0967741935483871,0.041666666666666664,0.041666666666666664,0.0,0.0,0.09090909090909091,0.0,0.06896551724137931,0.0,0.043478260869565216,0.08333333333333333,0.0,0.15384615384615385,0.12195121951219512,0.027777777777777776,0.15789473684210525
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.023255813953488372,0.0,0.024390243902439025
13,0.0,0.11363636363636363,0.021739130434782608,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.023809523809523808,0.03508771929824561,0.08695652173913043,0.05555555555555555
14,0.061224489795918366,0.07407407407407407,0.07692307692307693,0.0,0.0,0.018867924528301886,0.0,0.06976744186046512,0.02040816326530612,0.0392156862745098,0.0,0.0,0.043478260869565216,0.0,0.04,0.2830188679245283,0.017241379310344827,0.1
15,0.025,0.14634146341463414,0.07142857142857142,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.024390243902439025,0.0,0.0,0.05714285714285714,0.0,0.0,0.03636363636363636,0.11627906976744186,0.0784313725490196
16,0.06060606060606061,0.07894736842105263,0.05405405405405406,0.0,0.0,0.027777777777777776,0.0,0.07407407407407407,0.0,0.058823529411764705,0.02857142857142857,0.0,0.10714285714285714,0.0,0.029411764705882353,0.04081632653061224,0.07692307692307693,0.08888888888888889
17,0.057692307692307696,0.05172413793103448,0.017241379310344827,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.037037037037037035,0.037037037037037035,0.0,0.04081632653061224,0.0,0.018518518518518517,0.04411764705882353,0.01639344262295082,0.045454545454545456
18,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1111111111111111,0.2,0.09090909090909091,0.06666666666666667,0.0,0.045454545454545456,0.034482758620689655
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0625,0.0,0.043478260869565216,0.03333333333333333
21,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
22,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0625,0.0,0.09090909090909091,0.06896551724137931
23,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0
