it.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.16666666666666666,0.17857142857142858,0.12,0.10714285714285714,0.0625,0.07407407407407407,0.07142857142857142,0.0,0.04,0.024390243902439025,0.0,0.10256410256410256,0.08823529411764706,0.06451612903225806,0.047619047619047616,0.0,0.06451612903225806,0.04878048780487805,0.0,0.16666666666666666,0.0
2,0.075,0.14285714285714285,0.16216216216216217,0.15,0.06521739130434782,0.047619047619047616,0.046511627906976744,0.018867924528301886,0.05128205128205128,0.03636363636363636,0.0,0.07407407407407407,0.10638297872340426,0.043478260869565216,0.07272727272727272,0.0,0.06666666666666667,0.03571428571428571,0.0,0.1111111111111111,0.02702702702702703
3,0.09523809523809523,0.12,0.09523809523809523,0.08333333333333333,0.07407407407407407,0.09090909090909091,0.08695652173913043,0.0,0.0,0.0,0.0,0.08571428571428572,0.03225806451612903,0.07692307692307693,0.05405405405405406,0.0,0.12,0.05555555555555555,0.0,0.07142857142857142,0.0
4,0.0,0.0,0.05555555555555555,0.047619047619047616,0.041666666666666664,0.0,0.05,0.0,0.21428571428571427,0.13793103448275862,0.0,0.0625,0.037037037037037035,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.07692307692307693
5,0.15384615384615385,0.1111111111111111,0.07142857142857142,0.058823529411764705,0.10526315789473684,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.043478260869565216,0.1111111111111111,0.06896551724137931,0.0,0.1111111111111111,0.07142857142857142,0.0,0.1,0.0
6,0.1875,0.14285714285714285,0.05555555555555555,0.15789473684210525,0.13636363636363635,0.1111111111111111,0.05,0.0,0.0,0.0,0.0,0.0625,0.07692307692307693,0.09090909090909091,0.06060606060606061,0.0,0.09090909090909091,0.0625,0.0,0.13043478260869565,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.05405405405405406,0.0,0.0,0.02564102564102564,0.0,0.02857142857142857,0.15384615384615385,0.03225806451612903,0.02127659574468085,0.0,0.0,0.075,0.02631578947368421,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.03571428571428571
9,0.0,0.041666666666666664,0.0,0.0,0.02,0.022222222222222223,0.06818181818181818,0.09803921568627451,0.023809523809523808,0.03508771929824561,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.02564102564102564
10,0.0,0.02564102564102564,0.029411764705882353,0.02702702702702703,0.025,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.041666666666666664,0.047619047619047616,0.08108108108108109,0.02,0.0,0.0,0.02040816326530612,0.0,0.024390243902439025,0.0
11,0.09523809523809523,0.12,0.045454545454545456,0.04,0.07407407407407407,0.09090909090909091,0.041666666666666664,0.030303030303030304,0.05,0.08823529411764706,0.0,0.08571428571428572,0.10344827586206896,0.12,0.08333333333333333,0.0,0.07692307692307693,0.05555555555555555,0.0,0.1111111111111111,0.125
12,0.10714285714285714,0.09090909090909091,0.03333333333333333,0.0625,0.05714285714285714,0.06666666666666667,0.03125,0.0,0.03571428571428571,0.07142857142857142,0.0,0.045454545454545456,0.08108108108108109,0.058823529411764705,0.11904761904761904,0.0,0.09090909090909091,0.045454545454545456,0.0,0.08571428571428572,0.0
13,0.10526315789473684,0.13043478260869565,0.05,0.043478260869565216,0.08,0.1,0.045454545454545456,0.03225806451612903,0.05555555555555555,0.06060606060606061,0.0,0.16129032258064516,0.07142857142857142,0.13043478260869565,0.12121212121212122,0.0,0.08333333333333333,0.09090909090909091,0.0,0.07692307692307693,0.06666666666666667
14,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.047619047619047616,0.05555555555555555,0.0,0.08333333333333333,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
15,0.09090909090909091,0.1388888888888889,0.058823529411764705,0.05405405405405406,0.05,0.05714285714285714,0.02702702702702703,0.021739130434782608,0.030303030303030304,0.06382978723404255,0.0,0.1590909090909091,0.18421052631578946,0.10810810810810811,0.18181818181818182,0.0,0.05128205128205128,0.0625,0.0,0.13157894736842105,0.06896551724137931
